"","logFC","logCPM","LR","PValue","FDR","FC"
"ABHD13",0.917091515656271,4.2155310527778,13.1459432174148,0.000288142428052966,0.000745077514367817,1.88830461687497
"ABHD14A",0.18885654722828,3.50226054674732,1.0465279942919,0.306308078225735,0.38344193352349,1.13985992635833
"ABHD14A-ACY1",0.289896821368483,0.759833300985377,0.808743982918529,0.368491853245998,0.448159500426455,1.22255284005888
"ABHD14B",0.133126862789665,4.37845568845733,0.586017769451892,0.443963167269952,0.523448867953658,1.09666801939517
"ABHD15",0.139889748340713,3.37331890184801,0.459032489735499,0.498076487790836,0.575511447700537,1.10182091081454
"ABHD16A",-0.152388756311748,4.39578408563736,0.755377771064516,0.384778919556357,0.464952203245104,-1.11140817429131
"ABHD16B",1.37175164874588,4.52575861558004,50.6478290595255,1.10518629837013e-12,8.91239337758969e-12,2.5878457885681
"ABHD17A",0.808191834114908,5.51976106100141,25.7550620550539,3.87609043735013e-07,1.56167693581153e-06,1.75101547516931
"ABHD17B",0.26815561878457,3.74063138008464,3.46771529921541,0.0625776867305082,0.0964955118720464,1.20426727458875
"ABHD17C",1.92969490741759,3.45060022555622,64.8199751794648,8.206302088038e-16,9.21129783631083e-15,3.80974624446289
"ABHD18",-0.0686931291615264,4.42630937560122,0.218791554643644,0.639962239678511,0.705781070400965,-1.04876622429101
"ABHD2",0.902506122214529,5.90951508078781,44.4050151194117,2.67002234114631e-11,1.84501805580608e-10,1.8693103649513
"ABHD3",0.908498589907856,3.48743383693603,20.4787489213741,6.02970115586437e-06,2.04624827312149e-05,1.87709099641201
"ABHD4",1.76782566196002,4.20935062489412,75.8712783251376,3.02772126150116e-18,4.51110530006166e-17,3.40540329065562
"ABHD5",0.135058245708203,3.9438730996962,0.792657416341427,0.373297788856662,0.453257465494619,1.09813714781671
"ABHD6",-1.40004267291944,2.82043948463751,36.8119253501583,1.30092054123054e-09,7.25747782036258e-09,-2.63909388113001
"ABHD8",0.940248847434228,4.2990926339091,14.3434942958093,0.00015230507238143,0.000412695934367338,1.9188591900943
"ABI1",0.434153929394735,6.02085665815078,6.38390516858721,0.0115159772881852,0.0213321693906757,1.35111823538635
"ABI2",0.320455733507762,6.83537940000628,9.25986753235235,0.00234229962943872,0.00507427065367448,1.24872494682301
"ABI3",1.12148319016101,2.83686987841297,23.2301413584381,1.43726921198876e-06,5.35989399092961e-06,2.17570535106122
"ABI3BP",-0.591172495668001,6.09596486387757,2.34067795304261,0.126034691887564,0.178641260973262,-1.50647057684885
"ABL1",0.839855037276868,6.81010946108702,22.1500796176172,2.52145511888636e-06,9.08021968461168e-06,1.78987028575378
"ABL2",1.12079162248005,6.54615757286551,50.3234558721063,1.30381792611131e-12,1.04397716449701e-11,2.17466265881753
"ABLIM1",0.872564390359795,7.81645954240702,10.9607970364944,0.000930597805591041,0.00218385065120031,1.83091446013633
"ABLIM2",-0.26772922144983,3.42952249735107,0.910536329490682,0.339972154770618,0.419188710568863,-1.20391139863047
"ABLIM3",0.47499621162611,3.15936058433582,2.76412542133828,0.0963993587580587,0.14143335284948,1.38991457005993
"ABR",0.130963987568251,5.82438965680769,0.360501209827547,0.548228008102824,0.623414510054201,1.09502513652746
"ABRA",-0.657763088034727,1.37969793922981,3.87361982018442,0.0490506235588656,0.0778186693303931,-1.57763458938767
"ABRACL",-0.492095564647222,3.56456727763107,6.46316006705919,0.0110133614647252,0.020513891435766,-1.40648636299866
"ABT1",0.120105815070095,3.58604945082312,0.304579071980328,0.581025892824018,0.653050164622203,1.0868145724714
"ABTB1",1.06445247684805,5.26456530577722,27.376811907666,1.67426856226659e-07,7.09202072457295e-07,2.09137602220492
"ABTB2",0.184460211718406,3.89239291263602,0.261167103497755,0.609319470588964,0.678268328309531,1.13639170962883
"AC002310.11",3.27689064983634,2.46212857237429,87.9346770822132,6.76521724866937e-21,1.32937358293332e-19,9.69264659410705
"AC002398.9",2.49887940800877,2.61860035423282,78.9165721375346,6.47889832449719e-19,1.03336144676119e-17,5.65246207779072
"AC002985.3",1.63392865804949,0.934420416353189,41.8579147620643,9.81526573299554e-11,6.31414210719672e-10,3.10356994030673
"AC003006.7",2.90016043351091,1.85895797227359,89.8326578289299,2.59180513570012e-21,5.34492314312742e-20,7.46509403472219
"AC004381.6",1.01041771862443,3.31053028582038,18.9461172526564,1.34462648313605e-05,4.30487047501694e-05,2.01449429333866
"AC004951.5",0.510119544017987,2.40328958956304,6.26789391188599,0.0122945194154564,0.0226051310078939,1.4241681995623
"AC004967.7",-0.325754088323762,1.21222202775778,1.33196886695814,0.248455256159003,0.320703695765794,-1.25331937020467
"AC004980.10",-2.124078534671,1.46248606984495,47.6994741710554,4.96824867847181e-12,3.73810558525589e-11,-4.35924574266975
"AC004980.7",-1.54402277596653,4.47803951982716,36.5710880468276,1.47198857089376e-09,8.1572270769123e-09,-2.91606479346748
"AC004985.12",1.10417442807747,3.48465221835534,25.1184307767916,5.39150821180595e-07,2.12624550486728e-06,2.14975824507972
"AC005154.7",-2.57386781701173,2.02788738632066,104.895614313527,1.28742587122426e-24,3.89126926497133e-23,-5.95403547345463
"AC005943.2",2.21039927739394,4.68768920724311,94.1110815074541,2.98304560113641e-22,6.69199380039638e-21,4.62803340366353
"AC006116.20",0.837746403720574,3.32636109795842,9.21219263262207,0.00240408584645179,0.00519523968291765,1.78725613402826
"AC006486.9",3.88780882867407,3.32791418078045,101.979271499989,5.61057909051417e-24,1.55622332111319e-22,14.8029091871323
"AC006509.7",-2.90761373862388,6.70127376893582,41.2590744883775,1.33331423093025e-10,8.43331900538072e-10,-7.50376027639708
"AC007040.11",-0.705566383197894,3.34422671795136,6.28307955061092,0.0121896095699675,0.0224252568671327,-1.63078476391209
"AC008072.1",-5.93334602962008,3.24809466046335,155.764604082034,9.53030735062799e-36,9.49314514586453e-34,-61.1104004435851
"AC009133.22",4.51865018339217,3.35382972324988,85.4122024449579,2.42221221830543e-20,4.45046370226466e-19,22.921827775752
"AC009133.23",1.14783046617961,5.39630681461521,35.187331340331,2.99465336927837e-09,1.59426285924809e-08,2.21580429708022
"AC009237.8",-6.2113813660832,3.77719570793312,267.107569657962,4.84522782969885e-60,4.03887991404055e-57,-74.0989588268152
"AC009336.19",-1.66056534150332,3.28345504432947,17.2985457056424,3.19431228420346e-05,9.67148116176915e-05,-3.16140384786062
"AC010547.9",1.57662491895353,0.882716502416874,9.6391469766276,0.00190473673753107,0.00421094646133683,2.98271248797705
"AC010642.1",-0.784048179726209,4.09596435370775,18.2765569671729,1.91043804500947e-05,6.00722089702622e-05,-1.72195588153869
"AC010646.3",1.87486318640157,1.16890171419587,35.8714647670562,2.10773124947451e-09,1.14794523827983e-08,3.66766834414855
"AC010970.2",9.52927010343362,14.5169330058523,225.466304801065,5.80908755214938e-51,2.48660347705248e-48,738.917815976465
"AC011294.3",-6.01662602082366,3.68481818647882,212.661108846375,3.60831346474097e-48,1.07827299348241e-45,-64.7418201466256
"AC011330.5",1.69897363531768,3.60695427892185,18.7204448933536,1.51350997399861e-05,4.8144147355272e-05,3.24669899122466
"AC012066.1",-1.26818055927045,1.8678608700678,15.6456317280506,7.63888248023186e-05,0.000217598238708475,-2.40857618690372
"AC013264.1",0.777331203559888,3.87142762684295,12.061434989435,0.000514756532025216,0.0012673269010128,1.71395734238437
"AC013461.1",0.216647224984631,6.5860978674807,1.8544748389585,0.173263839786835,0.235045198676136,1.16202992739851
"AC018463.4",-0.455902812485157,1.43716255158613,4.21412032235192,0.0400888478039846,0.0649741272533267,-1.37164088454452
"AC018755.18",2.58043703041625,1.7441898672564,68.8460653127382,1.06456781700377e-16,1.32136560232804e-15,5.98120858612612
"AC019097.7",-0.369429711655846,1.9850180848719,2.22888914149448,0.135451201456106,0.190015600412915,-1.29184207258698
"AC023271.1",-9.18303031425807,2.34324047282885,269.284846096501,1.62470560969627e-60,1.4295604136872e-57,-581.256169666068
"AC023283.1",0.610632580830533,3.48054415241143,3.50941142177263,0.0610211304319565,0.0943064660208165,1.5269285770459
"AC023908.1",2.12075650840308,1.70940419459453,23.6379583136413,1.16271202600209e-06,4.39919566837581e-06,4.34921945972254
"AC024560.3",-2.20470946197638,4.82024514334558,88.9732378628489,4.00189938604443e-21,8.05363182670542e-20,-4.60981694290507
"AC024592.12",0.0197272047859743,0.589323125836094,0.0025660700026009,0.959599326525298,0.969701661041771,1.01376777112254
"AC024937.6",-0.909517394869192,2.12478175236221,12.8269075911392,0.000341669986054368,0.000870414868767748,-1.87841703204126
"AC027612.3",0.724393838663695,1.05068562398038,9.37486309621393,0.00219981134726306,0.00479919404257885,1.65220630107071
"AC027612.6",-0.957023073187484,2.89251882361538,11.4327713563813,0.000721599749604417,0.00172952433932124,-1.94129998672447
"AC037459.4",0.63152096340124,2.40957635704926,5.42622584462188,0.019836504983728,0.034656382589695,1.54919737656775
"AC068134.10",0.511344348769668,2.02463841621912,4.93086773576572,0.0263810672944009,0.0446289637662015,1.42537778896211
"AC068533.7",0.690817952336572,2.75082400747104,11.2091567124045,0.00081394699283322,0.00193156914481459,1.61419844719548
"AC069368.3",2.54399353694007,3.4504598027239,111.562224989266,4.45597645896238e-26,1.58592708218081e-24,5.83201138866125
"AC074141.1",2.46174077985549,4.00236218584716,36.6483949181697,1.41475457725501e-09,7.85655083960898e-09,5.508810286174
"AC079753.4",-5.61965081742305,2.03088628744553,285.930014954142,3.8316912587209e-64,4.3347375825444e-61,-49.1681039628983
"AC083899.3",0.739237552786717,1.47844272256818,13.2160648060076,0.000277559766301836,0.000719357155733673,1.66929340393924
"AC084219.2",1.96569281415039,4.07186412878906,31.487101974804,2.00769443514572e-08,9.66206759764141e-08,3.90600234172894
"AC090945.1",-2.05621542161434,1.2414065413623,23.0450456301276,1.58249776919216e-06,5.85734977061589e-06,-4.15893870242751
"AC090958.5",0.430564897931528,1.0891965930205,3.6472610703352,0.0561614974909849,0.0876772594639939,1.34776119944427
"AC093162.5",-0.556320316492071,3.24371664275141,5.15938708383679,0.0231210553719709,0.039712750784218,-1.47051379313821
"AC093616.4",1.20056670524899,3.43894786492152,22.6364641745076,1.95734297632372e-06,7.15448835887726e-06,2.29829932799725
"AC093642.5",-1.89293439143116,2.11524171502143,51.5260255837308,7.06542403659797e-13,5.82823884852284e-12,-3.71389851067264
"AC093724.2",-0.469571242976518,2.60120045710513,2.71354217809024,0.099499834603009,0.145242247045388,-1.38469788620537
"AC093838.4",0.338671596478876,4.2985095078424,3.94275520810794,0.0470736194456683,0.0751552076260458,1.2645916480941
"AC096949.1",1.54829998471459,5.27263485444301,35.274037676957,2.86424950900214e-09,1.52895125458631e-08,2.92472298163629
"AC097374.2",-4.59870077703463,2.74291092458175,94.0691901670942,3.04685093520749e-22,6.8254632407095e-21,-24.2296351719261
"AC104451.2",0.594585098336634,0.66369301315772,6.7845103675337,0.00919522486529824,0.0174537357881823,1.51003825435369
"AC108938.5",-2.01552772540179,5.05063781330766,17.5573554503543,2.78770337980712e-05,8.51034042586454e-05,-4.0432845140769
"AC112229.1",-1.40589067349252,1.59951036335377,8.00012845313621,0.00467740315064999,0.00948293792882675,-2.64981322533049
"AC125232.1",1.93895966872677,4.83972752313843,75.4917411106882,3.66938504806601e-18,5.39607431673811e-17,3.83429056293186
